brand,film_category,url,priority,notes
GeoShield,architectural_window_film,https://geoshieldusa.com/collections/architectural-window-film-1,1,official Shopify collection page
GeoShield,automotive_window_film,https://geoshieldusa.com/collections/automotive-window-film,1,official Shopify collection page
Rogue,automotive_window_film,https://roguewindowfilms.com/auto-films/,1,official auto film page
Rogue,architectural_window_film,https://roguewindowfilms.com/architectural-film/,1,official architectural page
