brand,product_line,record_scope,nominal_shade,measured_vlt_pct,vlr_exterior_pct,vlr_interior_pct,uv_rejection,tser_pct,tser_range,glare_reduction_pct,ir_primary_metric,ir_primary_value,ir_primary_wavelength_nm,ir_secondary_metric,ir_secondary_value,ir_secondary_wavelength_nm,solar_transmittance_pct,solar_reflectance_pct,solar_absorbance_pct,shading_coefficient,shgc,thickness_mil,construction,warranty,substrate,test_standard,source_kind,source_url,source_date,verified_at,data_status,notes
Flexfilm,Panaflex,shade,70,69.42,10.64,9.11,>99,46.76,,,IR Rejected,82.18,900-1000,IR Rejected,81.97,780-2500,41.88,14.6,43.52,0.65,0.5588,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,Captured table identifies Gen 7 Pana Black.
Flexfilm,Terraflex,shade,5,5,4.6,4.6,>99,60,,,IR Rejected,74,900-1000,IR Rejected,67,780-2500,18.8,4.6,76.6,0.52,0.4,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,
Flexfilm,Terraflex,shade,15,15,4.7,4.7,>99,54,,,IR Rejected,61,900-1000,IR Rejected,55,780-2500,29.3,4.8,65.9,0.54,0.46,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,
Flexfilm,Terraflex,shade,20,20,4.7,4.8,>99,53,,,IR Rejected,56,900-1000,IR Rejected,50,780-2500,33.7,4.8,61.5,0.56,0.47,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,
Flexfilm,Terraflex,shade,30,30,5.5,5.7,>99,51,,,IR Rejected,50,900-1000,IR Rejected,40,780-2500,43,7,50,0.67,0.49,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,
Flexfilm,Terraflex,shade,35,36,5.2,5.4,>99,50,,,IR Rejected,52,900-1000,IR Rejected,47,780-2500,49.1,5.6,45.3,0.65,0.5,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,
Flexfilm,Terraflex,shade,40,42,5.4,5.6,>99,47,,,IR Rejected,50,900-1000,IR Rejected,45,780-2500,53,5.8,41.2,0.67,0.53,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,
Flexfilm,Terraflex,shade,50,52,5.9,6.1,>99,37,,,IR Rejected,48,900-1000,IR Rejected,42,780-2500,60.9,6.1,33,0.73,0.63,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,
Flexfilm,Terraflex,shade,70,70,8.8,9.1,>99,22,,,IR Rejected,28.5,900-1000,IR Rejected,24.4,780-2500,70.7,8.4,20.9,0.88,0.78,1.5,2-ply,,,,manufacturer_web,https://flexfilmstore.com/collections/automotive-window-tint,,2026-08-12,verified,
Ceramic Pro / KAVACA,Carbon X,shade,5,5,,,99.9,61,,95,IR Rejection,95,,IR Rejection (film only),74,,,,,,,,nano-carbon,,,,manufacturer_web,https://ceramicpro.com/window-tint/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Carbon X,shade,20,21,,,99.9,57,,82,IR Rejection,91,,IR Rejection (film only),54,,,,,,,,nano-carbon,,,,manufacturer_web,https://ceramicpro.com/window-tint/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Carbon X,shade,35,38,,,99.9,51,,58,IR Rejection,83,,IR Rejection (film only),39,,,,,,,,nano-carbon,,,,manufacturer_web,https://ceramicpro.com/window-tint/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Carbon X,shade,50,48,,,99.9,47,,29,IR Rejection,80,,IR Rejection (film only),32,,,,,,,,nano-carbon,,,,manufacturer_web,https://ceramicpro.com/window-tint/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ceramic X,shade,5,6,,,99+,63,,,IR Rejection,96,,,,,,,,,,1.5,ceramic,,,,manufacturer_web,https://ceramicpro.com/ceramic-x/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ceramic X,shade,20,19,,,99+,58,,,IR Rejection,92,,,,,,,,,,1.5,ceramic,,,,manufacturer_web,https://ceramicpro.com/ceramic-x/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ceramic X,shade,35,30,,,99+,53,,,IR Rejection,88,,,,,,,,,,1.5,ceramic,,,,manufacturer_web,https://ceramicpro.com/ceramic-x/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ceramic X,shade,50,40,,,99+,48,,,IR Rejection,87,,,,,,,,,,1.5,ceramic,,,,manufacturer_web,https://ceramicpro.com/ceramic-x/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ceramic IR,shade,5,8,,,99.9,66,,93,IR Rejection,96,,,,,,,,,,,nano-ceramic,,,,manufacturer_web,https://ceramicpro.com/kavaca/window-tint/ceramic-ir-window-tint/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ceramic IR,shade,15,17,,,99.9,64,,82,IR Rejection,94,,,,,,,,,,,nano-ceramic,,,,manufacturer_web,https://ceramicpro.com/kavaca/window-tint/ceramic-ir-window-tint/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ceramic IR,shade,25,24,,,99.9,59,,75,IR Rejection,93,,,,,,,,,,,nano-ceramic,,,,manufacturer_web,https://ceramicpro.com/kavaca/window-tint/ceramic-ir-window-tint/,,2026-08-12,verified,
Ceramic Pro / KAVACA,Ceramic IR,shade,35,36,,,99.9,55,,59,IR Rejection,92,,,,,,,,,,,nano-ceramic,,,,manufacturer_web,https://ceramicpro.com/kavaca/window-tint/ceramic-ir-window-tint/,,2026-08-12,verified,
